Beta,Plaq,Poly,V,Lt
7.5,0.5910244232350286,0.0993456586,552960.0,5.0
7.5,0.5908122042062953,0.0988482351,552960.0,5.0
7.5,0.5907344855336256,0.0998520955,552960.0,5.0
7.5,0.5910621984089623,0.0989907619,552960.0,5.0
7.5,0.590964369244585,0.097689362,552960.0,5.0
7.5,0.5910490538914104,0.0980739932,552960.0,5.0
7.5,0.5910213288354367,0.0970079468,552960.0,5.0
7.5,0.5911218616369599,0.0957754236,552960.0,5.0
7.5,0.5910644262401938,0.0955460295,552960.0,5.0
7.5,0.5913725199099934,0.0962140308,552960.0,5.0
7.5,0.5913084463484367,0.0969651231,552960.0,5.0
7.5,0.5911856852894254,0.0966264839,552960.0,5.0
7.5,0.591187221582134,0.095673698,552960.0,5.0
7.5,0.5911634776944452,0.0959449972,552960.0,5.0
7.5,0.5912225620826358,0.0965987127,552960.0,5.0
7.5,0.5914014718825822,0.0983519752,552960.0,5.0
7.5,0.5911696427408962,0.0967901674,552960.0,5.0
7.5,0.5912202254249269,0.0960788245,552960.0,5.0
7.5,0.5912661341527868,0.097440943,552960.0,5.0
7.5,0.5913129900334494,0.0961665483,552960.0,5.0
7.5,0.5911642827579061,0.0940730512,552960.0,5.0
7.5,0.5910886304125933,0.096318922,552960.0,5.0
7.5,0.5910927808783648,0.09284948,552960.0,5.0
7.5,0.5909285398120142,0.0934568619,552960.0,5.0
7.5,0.5910706510793224,0.0951340866,552960.0,5.0
7.5,0.5908348588819584,0.0929940424,552960.0,5.0
7.5,0.5909653202281979,0.0934809675,552960.0,5.0
7.5,0.5911026014455527,0.0932312736,552960.0,5.0
7.5,0.5911640091176846,0.0936013154,552960.0,5.0
7.5,0.5911481144988744,0.0938220811,552960.0,5.0
7.5,0.5911715786258955,0.0960411971,552960.0,5.0
7.5,0.5912806115746058,0.0949591614,552960.0,5.0
7.5,0.5912158333539409,0.0954311304,552960.0,5.0
7.5,0.5912776112992167,0.0938179419,552960.0,5.0
7.5,0.5911378378163575,0.0933124472,552960.0,5.0
7.5,0.5911153026667891,0.0953292614,552960.0,5.0
7.5,0.5911323593679693,0.0952972782,552960.0,5.0
7.5,0.5914014485546479,0.097264441,552960.0,5.0
7.5,0.5914477442984605,0.0965727175,552960.0,5.0
7.5,0.5913536537522848,0.0980262304,552960.0,5.0
7.5,0.5914403173526853,0.0972259207,552960.0,5.0
7.5,0.5913810980159298,0.0959138178,552960.0,5.0
7.5,0.5912119063811204,0.0947830065,552960.0,5.0
7.5,0.5914172484031529,0.0970646144,552960.0,5.0
7.5,0.5915482898044692,0.0974475834,552960.0,5.0
7.5,0.5914365489620957,0.100146004,552960.0,5.0
7.5,0.5914296914193079,0.0970257056,552960.0,5.0
7.5,0.5913952509329469,0.0975812099,552960.0,5.0
7.5,0.5915475443181681,0.0985767089,552960.0,5.0
7.5,0.591363094825372,0.0975787044,552960.0,5.0
7.5,0.591412882419908,0.0987531254,552960.0,5.0
7.5,0.5915814782103963,0.0994574435,552960.0,5.0
7.5,0.5913797636789949,0.0979617228,552960.0,5.0
7.5,0.5912809008160052,0.0991620027,552960.0,5.0
7.5,0.5911400111247718,0.100016539,552960.0,5.0
7.5,0.5912919075504199,0.0970647765,552960.0,5.0
7.5,0.5910999860825988,0.097139224,552960.0,5.0
7.5,0.5912639279851757,0.0946756277,552960.0,5.0
7.5,0.5911575812266571,0.0958114933,552960.0,5.0
7.5,0.5912163860759481,0.0948457261,552960.0,5.0
7.5,0.5911159487368713,0.0937094133,552960.0,5.0
7.5,0.5910510027240244,0.0961239443,552960.0,5.0
7.5,0.5910441835258956,0.095117253,552960.0,5.0
7.5,0.5912047495532377,0.0937087833,552960.0,5.0
7.5,0.5911733860830303,0.0951341534,552960.0,5.0
7.5,0.5912691094253861,0.0935097357,552960.0,5.0
7.5,0.5910708045003636,0.0940133419,552960.0,5.0
7.5,0.591240189971946,0.0936336075,552960.0,5.0
7.5,0.5913431276273948,0.0935983343,552960.0,5.0
7.5,0.5913203986088945,0.0931222613,552960.0,5.0
7.5,0.5911901577076897,0.0931389001,552960.0,5.0
7.5,0.5910187981407595,0.0920257874,552960.0,5.0
7.5,0.5910458629833554,0.0940671688,552960.0,5.0
7.5,0.591104251400653,0.094455362,552960.0,5.0
7.5,0.5910698275845742,0.0947429052,552960.0,5.0
7.5,0.5911219277187361,0.0923860564,552960.0,5.0
7.5,0.591134856748664,0.0930299207,552960.0,5.0
7.5,0.5912166848228531,0.0923613603,552960.0,5.0
7.5,0.5910258416667515,0.092996332,552960.0,5.0
7.5,0.5912495823344954,0.0926391469,552960.0,5.0
7.5,0.5912785169318432,0.0913641408,552960.0,5.0
7.5,0.5912522806485717,0.0930755094,552960.0,5.0
7.5,0.5911741100505877,0.0947584604,552960.0,5.0
7.5,0.5912752143869004,0.0953133436,552960.0,5.0
7.5,0.5914113119991479,0.0962502016,552960.0,5.0
7.5,0.591284656898863,0.0969301979,552960.0,5.0
7.5,0.5913274667063558,0.0958935848,552960.0,5.0
7.5,0.5913431698197549,0.0935731521,552960.0,5.0
7.5,0.5913877139023999,0.0963547546,552960.0,5.0
7.5,0.5915940485510865,0.0970181281,552960.0,5.0
7.5,0.5915678847018618,0.0953327688,552960.0,5.0
7.5,0.5914541172952946,0.0951394459,552960.0,5.0
7.5,0.5914854544966331,0.0968081974,552960.0,5.0
7.5,0.5913839487678126,0.0965614927,552960.0,5.0
7.5,0.59128187595739,0.0972384161,552960.0,5.0
7.5,0.5911502454559513,0.098049966,552960.0,5.0
7.5,0.5910832150115051,0.0971419506,552960.0,5.0
7.5,0.591094142332682,0.0988824821,552960.0,5.0
7.5,0.591250880910354,0.0963339459,552960.0,5.0
7.5,0.5910813706766899,0.0955880729,552960.0,5.0
7.5,0.5912023914048032,0.0959303579,552960.0,5.0
7.5,0.5912719043216428,0.0964086174,552960.0,5.0
7.5,0.5912572551085262,0.0981433295,552960.0,5.0
7.5,0.5913070934002078,0.0970725361,552960.0,5.0
7.5,0.5911802330178416,0.0949362272,552960.0,5.0
7.5,0.5913126948357559,0.0973007705,552960.0,5.0
7.5,0.5913379810849632,0.0988859855,552960.0,5.0
7.5,0.5916655738196074,0.0995015822,552960.0,5.0
7.5,0.5914613461295344,0.0985293406,552960.0,5.0
7.5,0.591502890755274,0.0978677655,552960.0,5.0
7.5,0.5914625164997732,0.0987157853,552960.0,5.0
7.5,0.5915576183680629,0.0989333601,552960.0,5.0
7.5,0.5915339803339763,0.100655934,552960.0,5.0
7.5,0.5913902229941104,0.0993650694,552960.0,5.0
7.5,0.5913393677215819,0.0976107564,552960.0,5.0
7.5,0.5914129599755069,0.0976934537,552960.0,5.0
7.5,0.5915165047521269,0.0996393453,552960.0,5.0
7.5,0.5913681934649374,0.0990692939,552960.0,5.0
7.5,0.5914045861661901,0.0993264942,552960.0,5.0
7.5,0.5913923247596109,0.101210609,552960.0,5.0
7.5,0.5914673534198195,0.0987126338,552960.0,5.0
7.5,0.5914532954161551,0.0983909693,552960.0,5.0
7.5,0.5912699182539742,0.0977257557,552960.0,5.0
7.5,0.591339376730208,0.0985203591,552960.0,5.0
7.5,0.5911912021243139,0.0977877894,552960.0,5.0
7.5,0.5914046857569447,0.0977960758,552960.0,5.0
7.5,0.5914359853740039,0.0962185299,552960.0,5.0
7.5,0.591441876924523,0.0953645044,552960.0,5.0
7.5,0.5913525527835329,0.0964042889,552960.0,5.0
7.5,0.5914183074847639,0.097837322,552960.0,5.0
7.5,0.5915084703952864,0.095999303,552960.0,5.0
7.5,0.5916995304659609,0.0973911606,552960.0,5.0
7.5,0.5915287595757227,0.097837155,552960.0,5.0
7.5,0.5913837163784142,0.0962308869,552960.0,5.0
7.5,0.5914268632068045,0.0962493686,552960.0,5.0
7.5,0.5915918853164436,0.0962356365,552960.0,5.0
7.5,0.5913467607712211,0.0960717612,552960.0,5.0
7.5,0.5913237569258067,0.0959008973,552960.0,5.0
7.5,0.5912886669103067,0.0958602473,552960.0,5.0
7.5,0.5911601861532476,0.0976610543,552960.0,5.0
7.5,0.5911501008723483,0.0987249292,552960.0,5.0
7.5,0.5911431145153125,0.0984083444,552960.0,5.0
7.5,0.5912750600981772,0.0976099017,552960.0,5.0
7.5,0.5913470406316494,0.0960712209,552960.0,5.0
7.5,0.5914675499837139,0.0964671145,552960.0,5.0
