Beta,Hist,Bins
7.61,1.593589193102405,0.6003864545329698
7.61,0.0,0.6003990048188821
7.61,3.187178386233005,0.6004115551047942
7.61,1.593589193102405,0.6004241053907062
7.61,1.593589193102405,0.6004366556766185
7.61,0.0,0.6004492059625306
7.61,6.374356772409621,0.6004617562484429
7.61,3.187178386233005,0.600474306534355
7.61,9.561535158614433,0.600486856820267
7.61,9.561535158614433,0.6004994071061793
7.61,14.34230273792165,0.6005119573920914
7.61,23.90383789674754,0.6005245076780037
7.61,17.52948112412646,0.6005370579639158
7.61,22.310248703433675,0.6005496082498278
7.61,17.52948112412646,0.6005621585357401
7.61,52.58844337237937,0.6005747088216522
7.61,49.40126498661158,0.6005872591075645
7.61,57.3692109516866,0.6005998093934766
7.61,84.46022723442748,0.6006123596793886
7.61,87.6474056206323,0.6006249099653009
7.61,149.7973841516261,0.600637460251213
7.61,141.82943818736874,0.6006500105371253
7.61,160.95250850334295,0.6006625608230374
7.61,213.54095187572236,0.6006751111089494
7.61,269.3165736343065,0.6006876613948617
7.61,313.93707104117385,0.6007002116807738
7.61,363.3383360305626,0.6007127619666861
7.61,436.6434389100591,0.6007253122525982
7.61,513.1357201789745,0.6007378625385102
7.61,635.8420880478598,0.6007504128244225
7.61,702.7728341643776,0.6007629631103346
7.61,825.479202027046,0.6007755133962467
7.61,822.2920236408412,0.600788063682159
7.61,1003.9611916545156,0.600800613968071
7.61,1059.7368134130998,0.6008131642539833
7.61,1349.7700465696776,0.6008257145398954
7.61,1464.5084684611106,0.6008382648258075
7.61,1474.0700036197252,0.6008508151117198
7.61,1693.985312267857,0.6008633653976319
7.61,1775.2583611160796,0.6008759156835441
7.61,1845.37628562891,0.6008884659694562
7.61,1971.2698318676755,0.6009010162553683
7.61,2173.6556593916807,0.6009135665412806
7.61,2178.436426970988,0.6009261168271927
7.61,2345.7632922467405,0.600938667113105
7.61,2398.3517356403363,0.600951217399017
7.61,2516.277335908698,0.6009637676849291
7.61,2587.9888495983064,0.6009763179708414
7.61,2552.9298873500534,0.6009888682567535
7.61,2560.89783333822,0.6010014185426658
7.61,2552.9298873500534,0.6010139688285778
7.61,2616.67345507415,0.6010265191144899
7.61,2581.614492825897,0.6010390694004022
7.61,2650.1388281293,0.6010516196863143
7.61,2430.2235195026665,0.6010641699722266
7.61,2380.8222544949936,0.6010767202581386
7.61,2419.068395129452,0.6010892705440507
7.61,2264.490243398518,0.601101820829963
7.61,2068.478772646922,0.6011143711158751
7.61,1933.0236912503176,0.6011269214017874
7.61,1862.905766736712,0.6011394716876994
7.61,1633.4289229299657,0.6011520219736115
7.61,1568.091766012767,0.6011645722595238
7.61,1405.5456683163218,0.6011771225454359
7.61,1289.2136572312506,0.6011896728313482
7.61,1188.8175380543944,0.6012022231172602
7.61,1062.9239917993043,0.6012147734031723
7.61,937.0304455442144,0.6012273236890846
7.61,790.420239778793,0.6012398739749967
7.61,780.8587046270862,0.601252424260909
7.61,720.3023152822873,0.601264974546821
7.61,608.7510717651188,0.6012775248327331
7.61,487.63829308933606,0.6012900751186454
7.61,374.4934603823781,0.6013026254045575
7.61,401.5844766618062,0.6013151756904695
7.61,285.25246556533057,0.6013277259763818
7.61,272.50375202051134,0.6013402762622939
7.61,237.4447897722584,0.6013528265482062
7.61,176.8884004359318,0.6013653768341183
7.61,156.17174092403573,0.6013779271200304
7.61,111.55124351716836,0.6013904774059426
7.61,89.2409948137347,0.6014030276918547
7.61,84.46022723442748,0.601415577977767
7.61,66.93074611089311,0.6014281282636791
7.61,36.65255144135532,0.6014406785495912
