Beta,Plaq,Plaq_err,Plaq_SH,Plaq_SH_err,Poly,Poly_err,Poly_sus,Poly_sus_err,Plaq_binder,Plaq_binder_err,Lt,V
7.61,0.6010119165360597,1.5407600174393029e-06,0.0921259417946203,0.0010213322670489,0.0066450160393469,0.0004934351754739,3.054039063537201,0.4367346113751799,0.6666665812524888,9.59390783811256e-10,6.0,663552.0
7.615,0.6014862961033831,1.3915515106401702e-06,0.0973989581825662,0.0009671138362778,0.0100938537769083,0.0012719023620011,9.310482274733497,2.5902061767432083,0.6666665765049727,8.575342293465441e-10,6.0,663552.0
7.625,0.6027471149476896,5.3497755521084256e-06,0.1043821699304317,0.0034910281509637,0.06064214109535,0.0007476648255459,2.8955615628731834,0.4687063391552799,0.6666665704456515,3.1910469352820162e-09,6.0,663552.0
7.63,0.6032403433924415,5.493112358658588e-06,0.1024688395482371,0.0026462590142898,0.06513547973931,0.0009165578490773,2.886257131153684,0.6022498706110617,0.6666665723653615,2.510998292984792e-09,6.0,663552.0
