Beta,Plaq,Poly,V,Lt
7.49,0.5889667960682191,0.011233693,552960.0,5.0
7.49,0.5890396474255636,0.00867343613,552960.0,5.0
7.49,0.5891004466725867,0.00845778941,552960.0,5.0
7.49,0.5889623260621827,0.0106818658,552960.0,5.0
7.49,0.5888455163621756,0.00998395839,552960.0,5.0
7.49,0.5889794048086194,0.00660633057,552960.0,5.0
7.49,0.5888870321076553,0.0091151722,552960.0,5.0
7.49,0.5888673552548022,0.00860300477,552960.0,5.0
7.49,0.5887189422336906,0.00964896826,552960.0,5.0
7.49,0.5888018291909509,0.00953993007,552960.0,5.0
7.49,0.588851697323886,0.0114436572,552960.0,5.0
7.49,0.588878253728895,0.00891502019,552960.0,5.0
7.49,0.5887087065813837,0.00996350504,552960.0,5.0
7.49,0.5887004874831407,0.00963033047,552960.0,5.0
7.49,0.5886105394947312,0.00916293716,552960.0,5.0
7.49,0.5886190178492768,0.00934814812,552960.0,5.0
7.49,0.588681286362035,0.00917936682,552960.0,5.0
7.49,0.5887244426242632,0.0109937739,552960.0,5.0
7.49,0.5888102028508193,0.0105483163,552960.0,5.0
7.49,0.5888811304795109,0.0106768833,552960.0,5.0
7.49,0.5891230014141945,0.00998111927,552960.0,5.0
7.49,0.5890574709053042,0.00944650007,552960.0,5.0
7.49,0.5891274969289205,0.0114877211,552960.0,5.0
7.49,0.5891238839421611,0.010952002,552960.0,5.0
7.49,0.5890201476824485,0.0123822116,552960.0,5.0
7.49,0.5891022671708512,0.0116596856,552960.0,5.0
7.49,0.5892147876831809,0.0112654463,552960.0,5.0
7.49,0.5893062451229626,0.0126052765,552960.0,5.0
7.49,0.5892213176908153,0.0102562234,552960.0,5.0
7.49,0.5890965514793913,0.00942022202,552960.0,5.0
7.49,0.5892698914240457,0.0109532458,552960.0,5.0
7.49,0.5894704697447218,0.00926242071,552960.0,5.0
7.49,0.5895134044663402,0.0111521791,552960.0,5.0
7.49,0.5894324129716182,0.0105482121,552960.0,5.0
7.49,0.5892607714071549,0.00822443126,552960.0,5.0
7.49,0.5890446504664842,0.00652112344,552960.0,5.0
7.49,0.5890611964452737,0.00871714334,552960.0,5.0
7.49,0.5889718844242801,0.00946222059,552960.0,5.0
7.49,0.5888876666650397,0.0119658808,552960.0,5.0
7.49,0.5890064627671663,0.0115226625,552960.0,5.0
7.49,0.5891342209461587,0.0114290578,552960.0,5.0
7.49,0.5889527067302462,0.0104221278,552960.0,5.0
7.49,0.5892537174874367,0.0116045175,552960.0,5.0
7.49,0.5890919766238844,0.0100488446,552960.0,5.0
7.49,0.5891844208459296,0.0103300562,552960.0,5.0
7.49,0.5892920243260621,0.009507614,552960.0,5.0
7.49,0.5893562004669481,0.0101635509,552960.0,5.0
7.49,0.5893685306480007,0.0104532136,552960.0,5.0
7.49,0.5895041713209049,0.0121443972,552960.0,5.0
7.49,0.5894567970347884,0.0117993159,552960.0,5.0
7.49,0.5893625467336798,0.0107034844,552960.0,5.0
7.49,0.5892284253023841,0.0120614314,552960.0,5.0
7.49,0.5890619261046283,0.0106666801,552960.0,5.0
7.49,0.5891530813445163,0.010748885,552960.0,5.0
7.49,0.5891078837776083,0.0128463702,552960.0,5.0
7.49,0.5891364313276997,0.0148246993,552960.0,5.0
7.49,0.5891293996870527,0.0135657804,552960.0,5.0
7.49,0.5891371963870464,0.013615923,552960.0,5.0
7.49,0.5889919672809734,0.0115119696,552960.0,5.0
7.49,0.5890592494136992,0.0124179835,552960.0,5.0
7.49,0.5891404771150905,0.0111366335,552960.0,5.0
7.49,0.5891272842599397,0.0123932289,552960.0,5.0
7.49,0.5889021338771656,0.0129001036,552960.0,5.0
7.49,0.588994405619415,0.0116072583,552960.0,5.0
7.49,0.5889712434079095,0.0110812164,552960.0,5.0
7.49,0.5890976276497861,0.0109372157,552960.0,5.0
7.49,0.5891832635835397,0.0131346559,552960.0,5.0
7.49,0.5891860056508118,0.0124381116,552960.0,5.0
7.49,0.5888914326082033,0.0110362433,552960.0,5.0
7.49,0.588816481618427,0.0105695041,552960.0,5.0
7.49,0.5888263523703787,0.0112736025,552960.0,5.0
7.49,0.5888970649565805,0.0128462731,552960.0,5.0
7.49,0.588818811904514,0.0150973457,552960.0,5.0
7.49,0.5889399060334823,0.0128040451,552960.0,5.0
7.49,0.5888557288244824,0.0144499953,552960.0,5.0
7.49,0.5888371822221575,0.0147577833,552960.0,5.0
7.49,0.588681057077431,0.0150390498,552960.0,5.0
7.49,0.5888601335420198,0.0147715341,552960.0,5.0
7.49,0.5889889517253087,0.0163128552,552960.0,5.0
7.49,0.5890579391579739,0.0164451526,552960.0,5.0
7.49,0.5890337091405394,0.0154752686,552960.0,5.0
7.49,0.5890428745287423,0.0159522504,552960.0,5.0
7.49,0.5891096338940951,0.0145711969,552960.0,5.0
7.49,0.5890096192325686,0.0143681035,552960.0,5.0
7.49,0.5889282195595408,0.0143757344,552960.0,5.0
7.49,0.5888792998018587,0.0143282736,552960.0,5.0
7.49,0.588882912699785,0.0146898223,552960.0,5.0
7.49,0.5889783877859888,0.0139983135,552960.0,5.0
7.49,0.5890104997187485,0.0157218919,552960.0,5.0
7.49,0.5890913436869918,0.0152537787,552960.0,5.0
7.49,0.5891476362072204,0.0126513149,552960.0,5.0
7.49,0.5891595483789415,0.0116378957,552960.0,5.0
7.49,0.5892869906600817,0.0142203498,552960.0,5.0
7.49,0.589339476513851,0.0147118588,552960.0,5.0
7.49,0.5894754007250603,0.0141607838,552960.0,5.0
7.49,0.5896261301130591,0.0156200569,552960.0,5.0
7.49,0.5894533848030222,0.0177613563,552960.0,5.0
7.49,0.5893016261101753,0.0167166141,552960.0,5.0
7.49,0.5893704547699552,0.0156807347,552960.0,5.0
7.49,0.5893110669567035,0.0149619693,552960.0,5.0
7.49,0.5892351027776224,0.0145117416,552960.0,5.0
7.49,0.5893308592799501,0.0135020384,552960.0,5.0
7.49,0.588993302884406,0.0124670502,552960.0,5.0
7.49,0.5888720914292919,0.0121301828,552960.0,5.0
7.49,0.5889308695529969,0.0114707601,552960.0,5.0
7.49,0.5889399522794432,0.0132581035,552960.0,5.0
7.49,0.5888032637331804,0.0132873396,552960.0,5.0
7.49,0.5889016780131682,0.0130641354,552960.0,5.0
7.49,0.5891410460476201,0.0137802496,552960.0,5.0
7.49,0.588869633234967,0.0135024075,552960.0,5.0
7.49,0.5888326386976597,0.0118107367,552960.0,5.0
7.49,0.588982702330637,0.0127239337,552960.0,5.0
7.49,0.5890854314044579,0.0108296441,552960.0,5.0
7.49,0.5891854544527418,0.0113424068,552960.0,5.0
7.49,0.5891885963091155,0.0120875231,552960.0,5.0
7.49,0.5890451300393292,0.0121986118,552960.0,5.0
7.49,0.5888513785831303,0.0117579614,552960.0,5.0
7.49,0.5889205380614143,0.0137160104,552960.0,5.0
7.49,0.5889126885984067,0.0141949747,552960.0,5.0
7.49,0.589219361261178,0.0133941478,552960.0,5.0
7.49,0.5891732469057177,0.0117546132,552960.0,5.0
7.49,0.5889875276181642,0.0106256678,552960.0,5.0
7.49,0.5890959869395885,0.012492135,552960.0,5.0
7.49,0.5890803863263883,0.0115279301,552960.0,5.0
7.49,0.5890502305336017,0.0116016722,552960.0,5.0
7.49,0.5891191674953568,0.0112437977,552960.0,5.0
7.49,0.5888549788710568,0.0131579677,552960.0,5.0
7.49,0.5890744423446114,0.0121507869,552960.0,5.0
7.49,0.589216693797507,0.0130957999,552960.0,5.0
7.49,0.5893030157541533,0.0127040635,552960.0,5.0
7.49,0.5895451413453783,0.0124388016,552960.0,5.0
7.49,0.5896439681516839,0.012094947,552960.0,5.0
7.49,0.5894478573075378,0.0114249336,552960.0,5.0
7.49,0.5893838047120341,0.011019128,552960.0,5.0
7.49,0.5892953279063916,0.0122931934,552960.0,5.0
7.49,0.5893477546850002,0.0121042754,552960.0,5.0
7.49,0.5891839797096455,0.0128788083,552960.0,5.0
7.49,0.5889787577658955,0.0124392394,552960.0,5.0
7.49,0.5890334661958154,0.013961654,552960.0,5.0
7.49,0.5892977887280102,0.0134964433,552960.0,5.0
7.49,0.589280490442384,0.0131517834,552960.0,5.0
7.49,0.5891243315513126,0.013423533,552960.0,5.0
7.49,0.5892049557146131,0.0128800417,552960.0,5.0
7.49,0.5892458213945109,0.010483538,552960.0,5.0
7.49,0.5890432562465895,0.012850294,552960.0,5.0
7.49,0.5891379758656364,0.0150752248,552960.0,5.0
7.49,0.5893912068200411,0.0127262656,552960.0,5.0
7.49,0.5891720677660574,0.0122522885,552960.0,5.0
7.49,0.5892056060312537,0.0125469004,552960.0,5.0
7.49,0.5893239588614485,0.0133104978,552960.0,5.0
7.49,0.5892444307236416,0.0126493996,552960.0,5.0
7.49,0.5891739705367696,0.0111796549,552960.0,5.0
7.49,0.5890650307165222,0.0115564588,552960.0,5.0
7.49,0.5889865852893865,0.0117303624,552960.0,5.0
7.49,0.5890698491142711,0.012792233,552960.0,5.0
7.49,0.5890803503413151,0.0128681056,552960.0,5.0
7.49,0.5891219516116284,0.00924804565,552960.0,5.0
7.49,0.5890933584804278,0.0130617595,552960.0,5.0
7.49,0.5890412271846063,0.0115457377,552960.0,5.0
7.49,0.589032718468885,0.00901478827,552960.0,5.0
7.49,0.5890742192150296,0.00669042293,552960.0,5.0
7.49,0.5889888383796693,0.00699617199,552960.0,5.0
7.49,0.5888398141945332,0.00700948444,552960.0,5.0
7.49,0.5889789941466144,0.00559442962,552960.0,5.0
7.49,0.5889172758890219,0.00822444313,552960.0,5.0
7.49,0.5889890570421562,0.00856054526,552960.0,5.0
7.49,0.5886968423705518,0.0102718997,552960.0,5.0
7.49,0.5888586714437223,0.0106525801,552960.0,5.0
7.49,0.5889432886414302,0.0114285381,552960.0,5.0
7.49,0.588829860192814,0.0104113771,552960.0,5.0
7.49,0.5889915201166499,0.00997810035,552960.0,5.0
7.49,0.5890811345577232,0.0116363194,552960.0,5.0
7.49,0.589131520407429,0.0102839692,552960.0,5.0
7.49,0.5889587866413423,0.0106434023,552960.0,5.0
7.49,0.5891024714939345,0.00946389893,552960.0,5.0
7.49,0.5891658418123636,0.00914295433,552960.0,5.0
7.49,0.5891020925867662,0.00947583531,552960.0,5.0
7.49,0.588981650622035,0.00874134003,552960.0,5.0
7.49,0.5891350970999413,0.0099204953,552960.0,5.0
7.49,0.5891535890957633,0.0109197912,552960.0,5.0
7.49,0.589086644810963,0.00938174675,552960.0,5.0
7.49,0.589183751347058,0.00878458894,552960.0,5.0
7.49,0.5893792373730506,0.00879428915,552960.0,5.0
7.49,0.5893598144525595,0.00748320474,552960.0,5.0
7.49,0.5892677008705173,0.00991291238,552960.0,5.0
7.49,0.5892242440272838,0.00803594661,552960.0,5.0
7.49,0.5889210639034095,0.00897044404,552960.0,5.0
7.49,0.5890523969672435,0.00875205866,552960.0,5.0
7.49,0.5890989275094299,0.00711846135,552960.0,5.0
7.49,0.5892224268024633,0.00726060674,552960.0,5.0
7.49,0.5893310681619285,0.00696526106,552960.0,5.0
7.49,0.5892740187300598,0.0067715043,552960.0,5.0
7.49,0.5892655614479257,0.0076729362,552960.0,5.0
7.49,0.5891596065273147,0.00842991298,552960.0,5.0
7.49,0.5890887422972791,0.00911123487,552960.0,5.0
7.49,0.5893205100356018,0.00919128522,552960.0,5.0
7.49,0.589386484860618,0.0096393654,552960.0,5.0
7.49,0.5894121783945856,0.00987500821,552960.0,5.0
7.49,0.5893443170366666,0.00896915865,552960.0,5.0
7.49,0.5891610050787954,0.00863031521,552960.0,5.0
7.49,0.5892326028766935,0.0096168619,552960.0,5.0
7.49,0.5893124820544885,0.00797233698,552960.0,5.0
7.49,0.5893429340065446,0.00698012672,552960.0,5.0
7.49,0.5894124823861444,0.00685106128,552960.0,5.0
7.49,0.5892733279535153,0.00651062058,552960.0,5.0
7.49,0.5892088328434196,0.00810807685,552960.0,5.0
7.49,0.5892944089613991,0.00862928322,552960.0,5.0
7.49,0.5892311907473272,0.0088747308,552960.0,5.0
7.49,0.5892229408057927,0.00900889497,552960.0,5.0
7.49,0.5892211867714702,0.0100523322,552960.0,5.0
7.49,0.5891626798669696,0.0110150636,552960.0,5.0
7.49,0.5893180401807763,0.0102629073,552960.0,5.0
7.49,0.5893127429329406,0.00924581903,552960.0,5.0
7.49,0.5892241155979455,0.00943429992,552960.0,5.0
7.49,0.5890486177018319,0.00924222693,552960.0,5.0
7.49,0.5891397706601125,0.00937437631,552960.0,5.0
7.49,0.5890564913479348,0.0109932915,552960.0,5.0
7.49,0.5889184106765839,0.0120720659,552960.0,5.0
7.49,0.5889493194977464,0.00901710213,552960.0,5.0
7.49,0.5890916343582311,0.0102364648,552960.0,5.0
7.49,0.5888332582485271,0.00873654943,552960.0,5.0
7.49,0.5889689733003144,0.0100333401,552960.0,5.0
7.49,0.5889453165212786,0.0093649344,552960.0,5.0
7.49,0.588862031102125,0.0093223843,552960.0,5.0
7.49,0.5888259765264849,0.00774708271,552960.0,5.0
7.49,0.5888936954393595,0.00915838584,552960.0,5.0
7.49,0.5890385930925937,0.00905896356,552960.0,5.0
7.49,0.5891500313781587,0.00886385597,552960.0,5.0
7.49,0.589059955763376,0.00985710503,552960.0,5.0
7.49,0.5892080886644555,0.00884957646,552960.0,5.0
7.49,0.5891636424620778,0.0096158756,552960.0,5.0
7.49,0.5891012412966263,0.0107747809,552960.0,5.0
7.49,0.5888210806231127,0.0104121981,552960.0,5.0
7.49,0.5888574676122607,0.0103786284,552960.0,5.0
