9024000.00000 7.47189 1307.23404
9024653.61702 7.47282 1307.23404
9025307.23404 7.47371 1307.23404
9025960.85106 7.47457 1307.23404
9026614.46809 7.47541 1307.23404
9027268.08511 7.47621 1307.23404
9027921.70213 7.47699 1307.23404
9028575.31915 7.47773 1307.23404
9029228.93617 7.47845 1307.23404
9029882.55319 7.47914 1307.23404
9030536.17021 7.47981 1307.23404
9031189.78723 7.48045 1307.23404
9031843.40426 7.48106 1307.23404
9032497.02128 7.48165 1307.23404
9033150.63830 7.48222 1307.23404
9033804.25532 7.48276 1307.23404
9034457.87234 7.48328 1307.23404
9035111.48936 7.48377 1307.23404
9035765.10638 7.48425 1307.23404
9036418.72340 7.48470 1307.23404
9037072.34043 7.48513 1307.23404
9037725.95745 7.48555 1307.23404
9038379.57447 7.48594 1307.23404
9039033.19149 7.48632 1307.23404
9039686.80851 7.48668 1307.23404
9040340.42553 7.48702 1307.23404
9040994.04255 7.48734 1307.23404
9041647.65957 7.48765 1307.23404
9042301.27660 7.48794 1307.23404
9042954.89362 7.48821 1307.23404
9043608.51064 7.48848 1307.23404
9044262.12766 7.48873 1307.23404
9044915.74468 7.48896 1307.23404
9045569.36170 7.48918 1307.23404
9046222.97872 7.48939 1307.23404
9046876.59574 7.48959 1307.23404
9047530.21277 7.48978 1307.23404
9048183.82979 7.48996 1307.23404
9048837.44681 7.49013 1307.23404
9049491.06383 7.49029 1307.23404
9050144.68085 7.49045 1307.23404
9050798.29787 7.49059 1307.23404
9051451.91489 7.49073 1307.23404
9052105.53191 7.49086 1307.23404
9052759.14894 7.49098 1307.23404
9053412.76596 7.49111 1307.23404
9054066.38298 7.49122 1307.23404
9054720.00000 7.49133 1307.23404
9055373.61702 7.49144 1307.23404
9056027.23404 7.49155 1307.23404
9056680.85106 7.49165 1307.23404
9057334.46809 7.49175 1307.23404
9057988.08511 7.49185 1307.23404
9058641.70213 7.49195 1307.23404
9059295.31915 7.49205 1307.23404
9059948.93617 7.49216 1307.23404
9060602.55319 7.49226 1307.23404
9061256.17021 7.49237 1307.23404
9061909.78723 7.49247 1307.23404
9062563.40426 7.49259 1307.23404
9063217.02128 7.49270 1307.23404
9063870.63830 7.49282 1307.23404
9064524.25532 7.49295 1307.23404
9065177.87234 7.49308 1307.23404
9065831.48936 7.49321 1307.23404
9066485.10638 7.49336 1307.23404
9067138.72340 7.49351 1307.23404
9067792.34043 7.49367 1307.23404
9068445.95745 7.49384 1307.23404
9069099.57447 7.49402 1307.23404
9069753.19149 7.49421 1307.23404
9070406.80851 7.49441 1307.23404
9071060.42553 7.49462 1307.23404
9071714.04255 7.49484 1307.23404
9072367.65957 7.49507 1307.23404
9073021.27660 7.49532 1307.23404
9073674.89362 7.49558 1307.23404
9074328.51064 7.49586 1307.23404
9074982.12766 7.49615 1307.23404
9075635.74468 7.49645 1307.23404
9076289.36170 7.49678 1307.23404
9076942.97872 7.49712 1307.23404
9077596.59574 7.49747 1307.23404
9078250.21277 7.49785 1307.23404
9078903.82979 7.49824 1307.23404
9079557.44681 7.49865 1307.23404
9080211.06383 7.49908 1307.23404
9080864.68085 7.49954 1307.23404
9081518.29787 7.50001 1307.23404
9082171.91489 7.50051 1307.23404
9082825.53191 7.50102 1307.23404
9083479.14894 7.50156 1307.23404
9084132.76596 7.50213 1307.23404
9084786.38298 7.50271 1307.23404
9085440.00000 7.50333 1307.23404
