Beta,Plaq,Plaq_err,Plaq_SH,Plaq_SH_err,Poly,Poly_err,Poly_sus,Poly_sus_err,Plaq_binder,Plaq_binder_err,Lt,V
7.48,0.5879387541905089,5.397156795087305e-06,0.1141629077710604,0.0032225698755112,0.0070273351627061,0.0006176722431989,2.76363143760576,0.437731381592242,0.6666665339423203,3.6828682399853694e-09,5.0,552960.0
7.49,0.5890705549512106,4.798868043619305e-06,0.1110894020894193,0.00291655890941,0.0093251899148578,0.001286721660218,5.217800914257591,1.01867066859439,0.6666665380113204,3.508464446366729e-09,5.0,552960.0
7.493,0.5902302119659569,2.743294892090299e-05,0.1806041147187898,0.019024624385179,0.08113651672397,0.0015600486514152,6.2757467969724985,0.9154407564213678,0.6666664583366317,2.2089256159186213e-08,5.0,552960.0
7.495,0.5905913672682982,1.053312030156576e-05,0.1407525822128263,0.0061985795563834,0.08875413701681,0.000626231821433,2.792124105341827,0.3016481625246867,0.6666665045029867,7.421985418612614e-09,5.0,552960.0
7.5,0.5912479681764234,6.750070582872513e-06,0.1239171307133801,0.0044136725037603,0.09611504419143,0.0003887444227167,1.6068224531985609,0.1556561332134894,0.6666665242081664,5.037702090653114e-09,5.0,552960.0
