group,Lt,Ls,n_replicas,n_repeats,N_NR,N_RM,n_or,umin,umax,N_th,N_meas,Nfs_swaps,Nfa_meas,PX,PY,an_file,cores_per_node,N_NR_per_step,N_RM_per_step,rm_it,time_limit,therm
su3,12,12,128,1,1,1,3,0.567,0.629,300,700,50,100,1,1,input/data/su3/su3_L16_L20_L24.txt,128,20,100,1,2-00:00:00,1000
su3,4,4,128,1,1,1,3,0.500,0.567,300,700,50,100,1,1,input/data/su3/su3_L16_L20_L24.txt,128,20,100,1,2-00:00:00,1000
