beta,plaq
6.05226,0.599278767903646
6.05763,0.599835713704427
6.06295,0.600390116373698
6.06833,0.600941975911458
6.07375,0.601493835449219
6.07918,0.602043151855469
6.0846,0.602592468261719
6.09002,0.603139241536458
6.09551,0.603686014811198
6.10099,0.604230244954427
6.10648,0.604774475097656
6.11199,0.605316162109375
6.11747,0.605855305989583
6.12304,0.606394449869792
6.12858,0.60693105061849
6.13411,0.607467651367188
6.13967,0.608001708984375
6.14527,0.608533223470052
6.15083,0.609064737955729
6.15644,0.609596252441406
6.16202,0.610125223795573
6.16766,0.610651652018229
6.17337,0.611178080240886
6.17897,0.611701965332031
6.24475,0.61764375
6.24847,0.617971875
6.25221,0.618298958333333
6.25594,0.618626041666667
6.2597,0.618953125
6.26343,0.619279166666667
6.2672,0.619605208333333
6.27094,0.61993125
6.27468,0.62025625
6.27847,0.62058125
6.28225,0.620905208333333
6.28601,0.621229166666667
6.28981,0.621552083333333
6.29358,0.621875
6.29734,0.622196875
6.30117,0.62251875
6.30494,0.622840625
6.30874,0.623161458333333
6.31257,0.62348125
6.31634,0.623802083333333
6.32019,0.624120833333333
6.32402,0.624440625
6.32783,0.624758333333333
6.33166,0.625077083333333
6.40731,0.631209510834619
6.40998,0.631424515335648
6.41272,0.631639017489712
6.41542,0.631853519643776
6.41815,0.632068021797839
6.42085,0.632282021604938
6.42361,0.632496021412037
6.4263,0.632709518872171
6.42907,0.632923016332305
6.43177,0.633136513792438
6.43452,0.633350011252572
6.43725,0.633562504018776
6.43999,0.633775499131944
6.44272,0.633987991898148
6.44547,0.634200484664352
6.44823,0.63441247508359
6.45098,0.634624465502829
6.45371,0.634836455922068
6.45644,0.635047943994342
6.4592,0.63525892971965
6.46195,0.635470417791924
6.46468,0.635680901170268
6.46743,0.635891384548611
6.4702,0.636101867926955
