beta,plaq
6.24475,0.61764375
6.24847,0.617971875
6.25221,0.618298958333333
6.25594,0.618626041666667
6.2597,0.618953125
6.26343,0.619279166666667
6.2672,0.619605208333333
6.27094,0.61993125
6.27468,0.62025625
6.27847,0.62058125
6.28225,0.620905208333333
6.28601,0.621229166666667
6.28981,0.621552083333333
6.29358,0.621875
6.29734,0.622196875
6.30117,0.62251875
6.30494,0.622840625
6.30874,0.623161458333333
6.31257,0.62348125
6.31634,0.623802083333333
6.32019,0.624120833333333
6.32402,0.624440625
6.32783,0.624758333333333
6.33166,0.625077083333333
