beta,plaq
10.772621262200001,0.5605
10.7730182502,0.5605555555555556
10.7739396328,0.5606111111111111
10.775680813400001,0.5606666666666666
10.7776868158,0.5607222222222222
10.777325631,0.5607777777777778
10.778853180599999,0.5608333333333333
10.7797011776,0.5608888888888889
10.7781113122,0.5609444444444445
10.7785045118,0.561
10.7798567386,0.5610555555555555
10.7806339362,0.5611111111111111
10.780969278,0.5611666666666666
10.7822309022,0.5612222222222223
10.7818866006,0.5612777777777778
10.7839659528,0.5613333333333334
10.783392974400002,0.5613888888888888
10.785443016599999,0.5614444444444445
10.7863892674,0.5615
10.7832399726,0.5615555555555556
10.7841302442,0.5616111111111111
10.787218664200001,0.5616666666666668
10.787908129400002,0.5617222222222222
10.7872208864,0.5617777777777778
10.7889146556,0.5618333333333333
10.7880600548,0.5618888888888889
10.7919726174,0.5619444444444445
10.789461691,0.562
10.7891565442,0.5620555555555555
10.787402855,0.5621111111111111
10.7921908348,0.5621666666666667
10.789603569599999,0.5622222222222223
10.791039516000001,0.5622777777777778
10.790416789800002,0.5623333333333334
10.7876947614,0.5623888888888889
10.7917884918,0.5624444444444445
10.7894559806,0.5625
10.793836626600001,0.5625555555555555
10.7916968212,0.5626111111111111
10.791580633399999,0.5626666666666666
10.7933820912,0.5627222222222222
10.7928700534,0.5627777777777777
10.7938266734,0.5628333333333333
10.794845302999999,0.5628888888888889
10.7977069336,0.5629444444444445
10.7957757488,0.563
10.7965120644,0.5630555555555555
10.797872779799999,0.5631111111111111
10.7986528138,0.5631666666666667
10.800736596,0.5632222222222222
10.800228662,0.5632777777777778
10.797787275400001,0.5633333333333332
10.800612935599998,0.5633888888888889
10.7991874398,0.5634444444444444
10.8021002076,0.5635
10.8026538552,0.5635555555555555
10.8041664212,0.5636111111111112
10.8044147976,0.5636666666666666
10.8028291032,0.5637222222222222
10.8058180594,0.5637777777777777
10.8071867578,0.5638333333333334
10.808170683800004,0.5638888888888889
10.8092321912,0.5639444444444445
10.8102936986,0.564
